NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Burkāni sveramie 150 -300 g,41,0.2,0,10,4.7,0.9,0.06,0.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_287107_KGM_LV",Augļi un Dārzeņi,0.89
"Apelsīni Navelina C/0-1, 1. šķ",47,0.1,0,12,8.5,0.9,0,2.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_298039_KGM_LV",Augļi un Dārzeņi,2.39
Gurķis Rimi gab,30,0,0,6,0,3,0,1.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_815307_PCE_LV",Augļi un Dārzeņi,1.39
Bumbieri Conference,57,0.1,0,15,10,0.4,0,2.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_297319_KGM_LV",Augļi un Dārzeņi,2.29
Banāni,89,0.3,0,23,12,1.1,0,1.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_270939_KGM_LV",Augļi un Dārzeņi,1.69
"Kartupeļi Rimi 2,5kg",77,0.1,0,17,0.8,2,0,0.80,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_299852_PCE_LV",Augļi un Dārzeņi,1.99
Mandarīni Comune,53,0.31,0,13.34,10.58,0.81,0,2.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_211248_KGM_LV",Augļi un Dārzeņi,2.49
Paprika sarkana 70+ mm 1. šķira kg,20,0.2,0.1,4.6,2.4,0.9,0,3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_269167_KGM_LV",Augļi un Dārzeņi,3.99
Greipfrūti Rimi sark,42,0.1,0,11,7,0.8,0,2.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_297340_KGM_LV",Augļi un Dārzeņi,2.29
Ziedkāposts Rimi 500g,25,0.3,0.1,5,1.9,1.9,0.03,5.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_947084_PCE_LV",Augļi un Dārzeņi,2.99
