NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Sula Selection by Rimi apelsīnu 100% 1l,45.9,0,0,10.7,9,0.6,0,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807931_PCE_LV",Dzērieni,2.99
"Gāzēts dzēriens Coca Cola 1,5l",43.0,0,0,10.6,10.6,0,0,1.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360279_PCE_LV",Dzērieni,2.59
"Gāzēts dzēriens Coca Cola Zero ar saldinātāju 1,5l",0.2,0,0,0,0,0,1,1.73,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360299_PCE_LV",Dzērieni,2.59
Gāzēts dzēriens Coca Cola 2l,43.0,0,0,10.6,10.6,0,0,1.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1353351_PCE_LV",Dzērieni,2.99
Sula Rimi ābolu 100% 1l,44.2,0,0,10.7,10.7,0,0,1.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801004_PCE_LV",Dzērieni,1.59
"Gāzēts dzēriens Coca Cola 0,33l",43.0,0,0,10.6,10.6,0,0,3.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1351912_PCE_LV",Dzērieni,0.99
Sulas dzēriens Cido MIX multiaugļu 1l,44.7,0,0,11,11,0,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_125914_PCE_LV",Dzērieni,1.99
"Dzirkstošais dzēriens Mežezers Klasiskais 0,75l",39.7,0,0,9.7,9.7,0.1,0,4.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113117_PCE_LV",Dzērieni,3.25
Sulas dzēriens Rimi multiaugļu 200ml,49.0,0.1,0.1,12,12,0.1,0,1.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812378_PCE_LV",Dzērieni,0.28
Gāzēts dzēriens Coca-Cola zero ar saldinātāju 2l,0.2,0,0,0,0,0,1,1.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1353153_PCE_LV",Dzērieni,2.99
"Gāzēts dzēriens Coca Cola Zero ar saldinātāju 0,33l",0.2,0,0,0,0,0,1,3.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1354336_PCE_LV",Dzērieni,0.99
Sula Cido ābolu 1l,44.7,0,0,11,11,0,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_121821_PCE_LV",Dzērieni,1.99
Sula Rimi tomātu 100% 1l,23.9,0.1,0.1,4.6,2.3,0.9,0.7,1.15,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801015_PCE_LV",Dzērieni,1.15
"Dzirkstošs dzēriens Mežezers Rose bezalkoholisks 0,75l",39.0,0,0,9.7,9.7,0,0,4.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1362770_PCE_LV",Dzērieni,3.25
"Dzirkstošais dzēriens Mežezers zelta ar cidoniju garšu 0,75l",48.8,0,0,11.9,0,0.1,0,4.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113106_PCE_LV",Dzērieni,3.25
"Sulu dzēriens Rimi persiku, vīnogu 200ml",45.2,0.1,0.1,11,11,0.1,0,1.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812371_PCE_LV",Dzērieni,0.28
"Melnā ledus tēja Rimi persiku 1,5l",27.7,0,0,6.8,6.8,0,0,0.57,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1361324_PCE_LV",Dzērieni,0.85
"Kvass Iļģuciema 1,5l",33.9,0,0,8.3,0,0.1,0,1.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_123492_PCE_LV",Dzērieni,1.99
"Sulu dzēriens Rimi apelsīnu, banānu, persiku 200ml",41.1,0.1,0.1,10,10,0.1,0.1,1.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812372_PCE_LV",Dzērieni,0.28
"Limonāde Schweppes Pink mixer 1,5l",38.5,0,0,9,9,0,0,2.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1352161_PCE_LV",Dzērieni,3.15
Sulas dzēriens Rimi ābolu 200ml,37.5,0.1,0.1,9,9,0.1,0,1.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812630_PCE_LV",Dzērieni,0.28
Sula Cido tomātu 1l,23.4,0,0,5,5,0.8,0.8,1.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100653_PCE_LV",Dzērieni,1.65
"Gāzēts dzēriens Schweppes Tonic 1,5l",42.3,0,0,10.2,10.2,0,0,2.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1352162_PCE_LV",Dzērieni,3.15
"Gāzēts bezalkoholisks dzēriens Rimi Party ar zemeņu garšu 0,75l",34.4,0,0,8.4,8.4,0.1,0,3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1365987_PCE_LV",Dzērieni,2.99
Burkānu sula 500ml,28.2,0,0,6.1,6.1,0.1,0.1,2.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1356191_PCE_LV",Dzērieni,1.49
"ZOO MINION Multiaugļu dzēriens (slim) 0,2L",40.6,0,0,10,10,0,0,2.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173576_PCE_LV",Dzērieni,0.55
Nektārs Cido vīnogu 1l,52.8,0,0,13,13,0,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100635_PCE_LV",Dzērieni,1.99
