NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Cāļu mazās filejas Rimi 400g,103.0,1.3,0.4,0,0,22.7,0.1,6.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813048_PCE_LV",Gaļas produkti,2.69
Cāļu krūtiņas filejas Rimi 500g,103.0,1.7,0.5,0,0,21.9,0.1,6.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813042_PCE_LV",Gaļas produkti,3.19
Cāļu krūtiņas filejas Rimi kg,125.0,3.6,1,0,0,23.2,0.2,5.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812523_KGM_LV",Gaļas produkti,5.99
Cāļu stilbi Rimi 500g,120.0,5.2,1.3,0,0,18.3,0.1,3.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812282_PCE_LV",Gaļas produkti,1.95
Liellopa maltā gaļa Rimi 400g,197.4,14.5,6.4,0,0,17,0.4,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_814144_PCE_LV",Gaļas produkti,2.99
Cāļu šķiņķi Rimi atkauloti bez ādas kg,146.0,8,0,0.5,0.5,18,0.2,5.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_810482_KGM_LV",Gaļas produkti,5.69
Tītara maltās gaļas masa Rimi 500g,150.1,8.8,2.7,0,0,17.8,1.6,5.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813665_PCE_LV",Gaļas produkti,2.89
Fileja tītara gaļas šķēlēs 105g,84.6,1,0.4,0.8,0.5,20,0,18.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_224030_PCE_LV",Gaļas produkti,1.99
Cīsiņi minī ekspress vārīti 450g,249.3,21.8,7,1.6,0.1,11.4,1.6,5.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_936107_PCE_LV",Gaļas produkti,2.69
Jauktā maltā gaļa Rimi 500g,284.9,24,9.8,0,0,17.1,0.1,7.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_809262_PCE_LV",Gaļas produkti,3.69
