NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Kviešu milti Dobele ekstra 2kg,357.1,1.1,0.2,72.6,0.2,11,0,1.2,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_137190_PCE_LV",Iepakoti produkti,2.39
Marinēti gurķi Spilva 6-9cm 670g/360g,27,0,0,6,3.4,0.8,1.3,6.92,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113575_PCE_LV",Iepakoti produkti,2.49
Sviesta pupiņas Rimi 400g/240g,97,0.4,0,13.5,1,5.9,0.8,3.16,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801792_PCE_LV",Iepakoti produkti,0.79
Pupiņas Rimi sarkanās 400g/240g,109.9,0.5,0,14.8,0,7.4,0.7,3.71,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808449_PCE_LV",Iepakoti produkti,0.89
Konservēta saldā kukurūza Rimi 165g/140g,69.1,1.2,0.3,10.5,7,2.5,0.5,4.93,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_810858_PCE_LV",Iepakoti produkti,0.69
Cukurs Rimi 1kg,406.3,0,0,100,100,0,0,0.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801045_PCE_LV",Iepakoti produkti,0.89
Tomātu mērce Spilva 510g,75.3,0,0,17,15,1.2,1.9,4.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_156636_PCE_LV",Iepakoti produkti,2.39
Turku zirņi Rimi 400g/240g,120.9,2,0.3,16.2,0.7,6.6,0.8,3.16,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803528_PCE_LV",Iepakoti produkti,0.79
Pupiņu maisījums Rimi četri veidi 400g/240g,115.4,0.7,0,16.1,0,7,0.8,3.71,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801780_PCE_LV",Iepakoti produkti,0.89
Marinēti gurķi Rimi 3-6cm 670g/370g,42.1,0.4,0,7.7,5.4,1,1.5,5.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_802445_PCE_LV",Iepakoti produkti,1.99
Konservēti zaļie zirnīši Bonduelle 400g/265g,73.4,0.7,0.1,7.4,2.6,5.5,0.7,7.74,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_104097_PCE_LV",Iepakoti produkti,2.05
Makaroni Durum 500g Spirali Rimi,365.9,1.7,0.4,72.5,2.5,12.3,0,2.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801275_PCE_LV",Iepakoti produkti,1.19
Pilngraudu auzu pārslas Dobele kartona kastītē 500g,359,7,0.9,54.1,1.1,14.1,0,2.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_178588_PCE_LV",Iepakoti produkti,1.39
Basmati rīsi Rimi Planet 500g,363,1.1,0.4,76.5,0.3,9.4,0,3.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803639_PCE_LV",Iepakoti produkti,1.69
Griķi Valdo maisiņos 8x125g,349.4,3.3,0.6,63.4,0.7,12.6,0,3.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_120712_PCE_LV",Iepakoti produkti,3.49
Pupiņas Rimi brūnās 400g/240g,114.2,0.5,0.1,15.8,1,7.2,0.7,3.71,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801781_PCE_LV",Iepakoti produkti,0.89
Konservēti zaļie zirnīši Rimi Smart 690g/450g,59.8,0.4,0.1,9.7,3,4.5,0.8,2.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804235_PCE_LV",Iepakoti produkti,1.29
Auzu pārslas Dobele ātri vāramās 500g,364,6.9,1,55.1,1.2,14.2,0,2.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_182795_PCE_LV",Iepakoti produkti,1.19
Basmati rīsi Rimi Planet 4x125g,363,1.1,0.4,76.5,0.3,9.4,0,3.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811427_PCE_LV",Iepakoti produkti,1.69
Sausās brokastis Rimi Choco Shells 250g,395.1,5,1,76,27,9.4,0.6,2.76,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808924_PCE_LV",Iepakoti produkti,0.69
Konservēti zaļie zirnīši Bonduelle 660g/465g,81.5,0.8,0.2,8,1.9,6.3,0.5,7.42,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_101336_PCE_LV",Iepakoti produkti,3.45
Tomāti I Love Eco sasmalcināti 390g,35.9,0.3,0,5.3,5.3,1.5,0.1,5.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807573_PCE_LV",Iepakoti produkti,1.99
Makaroni Rimi Cornetti 500g,365.9,1.7,0.4,72.5,2.5,12.3,0.2,2.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801170_PCE_LV",Iepakoti produkti,1.19
Konservēta kukurūza Rimi saldā 340g/285g,69.3,1.2,0.3,10.5,7,2.5,0.5,3.82,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801105_PCE_LV",Iepakoti produkti,1.09
Marinēti gurķi Muižkungu medainie 1l,12,0,0,1.3,0.8,0,1.5,3.36,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_179716_PCE_LV",Iepakoti produkti,3.19
