NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Kefīra maize Lielmaize 500g,283.0,3,0.2,51.2,4.9,11,1.1,2.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_978823_PCE_LV",Maizes produkti,1.49
Sēklu tostermaize bagātīgā 450g,349.9,17.6,2.1,36,4.1,12,1,5.31,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_948041_PCE_LV",Maizes produkti,2.39
Rudzu maize Ķelmēni 1/2 sagriezta 460g,276.8,1.5,0.3,54.5,7.8,5.6,0.6,4.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_211634_PCE_LV",Maizes produkti,1.99
Maize Ciabatta tumšā 320g,258.6,1.1,0.2,50,1.1,10,1.6,3.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_299585_PCE_LV",Maizes produkti,0.99
Maize Gardā mellā ar saulespuķu sēklām 280g,313.1,10,1.1,46,8.6,9.1,1.1,5.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_926952_PCE_LV",Maizes produkti,1.65
Ciabatta Izcep pats tumšā 300g,251.0,1,0.2,49.5,0.5,9.1,1.3,4.83,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_948764_PCE_LV",Maizes produkti,1.45
Maize Latvijas graudu ar sēklām 500g,324.1,10.1,0.6,43.7,5.4,11.9,1,2.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_952317_PCE_LV",Maizes produkti,1.39
Tostermaize Rimi pilngraudu 500 g,327.0,4,0.8,55.3,5.7,13.2,1.3,1.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_809579_PCE_LV",Maizes produkti,0.89
Tostermaize Fazer Gardā mini 240g,294.5,4,0.4,56,3.3,8,1.2,3.71,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_907457_PCE_LV",Maizes produkti,0.89
Saldskābmaize Latviskā ar sēklām un graudiem 300g,295.4,6.3,0.7,48.4,6.6,8,0,4.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_218278_PCE_LV",Maizes produkti,1.29
Rudzu maize Ķelmēni sagriezta 1kg,276.8,1.5,0.3,54.5,7.8,5.6,0.6,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_258801_PCE_LV",Maizes produkti,2.99
Baltmaize Kungu sagriezta 400g,272.5,3.6,0.2,50.2,2.4,7.8,0.5,4.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_210215_PCE_LV",Maizes produkti,1.69
Maize Fazer Dzīvā saulespuķu 500g,332.7,10,0.9,49,1.9,10.9,0,2.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_299565_PCE_LV",Maizes produkti,1.39
Tostermaize Toste sendviču sēklu 470g,276.8,6.8,0.4,41.2,2.2,10,0,3.6,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_903391_PCE_LV",Maizes produkti,1.69
Baltmaize Zemnieku sagriezta 500g,267.0,2.5,0.2,50.5,1.3,8.4,1,2.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_288553_PCE_LV",Maizes produkti,1.35
Rudzu maize Zeltene sagriezta 800g,222.3,1.6,0.3,41.7,5.7,6.5,1,1.86,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_283726_PCE_LV",Maizes produkti,1.49
Lavašs Oriental 190g,262.7,1.1,0.1,54.8,0.7,8.6,1.3,6.05,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_273542_PCE_LV",Maizes produkti,1.15
Tostermaize Tost Maize 100% rudzu 390g,276.3,4.6,0.8,41.5,4.8,14.3,1.6,3.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_987208_PCE_LV",Maizes produkti,1.45
Rudzu formas maize Rimi Beķera 600g,223.0,1,0.1,44.2,2.7,5.2,1.1,1.32,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_810028_PCE_LV",Maizes produkti,0.79
Rudzu maize Rikas 6 gab. 330g,262.9,1.6,0.3,46,1,9.3,0.4,4.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_219058_PCE_LV",Maizes produkti,1.35
"Rupjmaize Rīgas Klaips formas, sagriezta 600g",226.3,1.3,0.2,44,2.9,5.4,1.1,2.33,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_268114_PCE_LV",Maizes produkti,1.4
Maize franču ar ķiploku pildījumu 160g,303.1,14,6.6,38,0.6,5.2,1.5,4.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_926534_PCE_LV",Maizes produkti,0.74
