NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Majonēze Francis Provansas 250g,611.1,67,8.5,2.4,2.2,1.6,1.2,5.16,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_212319_PCE_LV",Piena produkti,1.29
"Piens Rimi pasterizēts 2,5% 1,5l",54.7,2.5,1.7,4.8,4.8,3.2,0.1,0.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803751_PCE_LV",Piena produkti,1.35
"Saldais krējums Rimi 35%, 200 ml",344.9,35,23.5,4.4,4.4,3,0.2,5.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811545_PCE_LV",Piena produkti,1.09
"Piens Annele pasterizēts 2,5% 2l",54.3,2.5,1.5,4.7,4.7,3.2,0,1.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297677_PCE_LV",Piena produkti,2.6
Piens Rimi pudele 2% 1l,49.0,2,1.4,4.5,4.5,3.2,0.1,1.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804139_PCE_LV",Piena produkti,1.09
Skābais krējums Valmiera 20% 450g,201.2,20,0,3.2,0,2.8,0,5.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_286794_PCE_LV",Piena produkti,2.25
Sviests Rimi Smart 82% 180g,730.4,82,55,0.8,0.8,0.5,0,11.06,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804046_PCE_LV",Piena produkti,1.99
Biezpiena sieriņš kārums vanilla 45g,341.3,22.5,13.4,24.9,22.4,10.1,0,11.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_269082_PCE_LV",Piena produkti,0.52
Olas Rimi A/L Nr.3 sprostos dētas 10gab.,136.0,9.4,2.6,0.8,0.8,12,0.3,0.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811462_PCE_LV",Piena produkti,2.19
Skābais krējums Exporta 25% 360g,249.5,25,16.9,4.4,4.4,2.6,0,5.81,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_227060_PCE_LV",Piena produkti,2.09
