NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Zaļie zirnīši Rimi saldēti 400g,75.0,0.9,0.2,8.6,2.5,5.7,0,2.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808614_PCE_LV",Saldēti produkti,0.99
Ziedkāposti Rimi saldēti 400g,39.9,0.9,0.2,3,2.5,3.6,0,2.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808622_PCE_LV",Saldēti produkti,1.15
Pākšu pupiņas Rimi grieztās saldētas 400g,31.1,0.5,0,3.1,2.3,1.9,0,2.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808637_PCE_LV",Saldēti produkti,1.15
Brokoļi Rimi saldēti 400g,39.0,0.9,0.2,1.8,1.5,4.4,0,2.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808638_PCE_LV",Saldēti produkti,1.15
Mango Rimi ātri sasaldēti 400G,68.1,0.3,0.1,15,10.5,0.5,0,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808687_PCE_LV",Saldēti produkti,2.99
Kartupeļi frī Rimi 7mm saldēti 1kg,123.1,3.2,0.5,20,0.5,2.3,0.1,3.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811418_PCE_LV",Saldēti produkti,3.29
Burkānu kubiņu un zirnīšu maisījums Rimi ātri sasaldēts 400G,53.1,0.7,0.1,7,4.3,2.7,0.1,2.3,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811173_PCE_LV",Saldēti produkti,0.92
Mīkla Latvijas Maiznieks kārtainā rauga 400g,383.4,22.8,11.1,37.6,5.6,6.8,0.5,7.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_905492_PCE_LV",Saldēti produkti,2.89
Triju dārzeņu maisījums Rimi ātri sasaldēts 400G,41.1,0.8,0.2,3.6,3.2,2.9,0.1,3.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811170_PCE_LV",Saldēti produkti,1.24
Sviesta pupiņas Rimi 400g,39.0,0.4,0.1,5,2.2,2.1,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804765_PCE_LV",Saldēti produkti,2.19
Ķirši Rimi bez kauliņiem saldēti 400g,58.1,0,0,12.5,8,1,0,8.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811669_PCE_LV",Saldēti produkti,3.49
Sviesta kruasāni mini saldēti 300g,353.3,20.2,9,35.9,4.7,5.8,0.8,13.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_918236_PCE_LV",Saldēti produkti,4.19
Kartupeļu pankūkas Farm Frites 540g,114.7,2,0.3,19.4,2.2,2.9,2.3,5.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_286624_PCE_LV",Saldēti produkti,2.79
Pavasara dārzeņu maisījums 400g,40.4,0.2,0.1,5.2,3,2.5,0.1,3.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801516_PCE_LV",Saldēti produkti,1.39
Pelmeņi Pilsētas 1kg,193.8,5.8,2,26,2,9.1,1.5,4.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_212376_PCE_LV",Saldēti produkti,4.99
Dārzeņi Hortex cepšanai itāļu gaumē 400g,46.8,0.5,0,6.7,0,2.4,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223890_PCE_LV",Saldēti produkti,2.19
Kartupeļi frī Rimi rievoti saldēti 1kg,115.0,2.4,0.5,20,0.5,2.1,0.1,3.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811419_PCE_LV",Saldēti produkti,3.39
Pelmeņi Mazulīši 400g,197.2,5.3,1.2,27.1,0.1,9.7,1.1,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_263491_PCE_LV",Saldēti produkti,2.19
Mīkla Latvijas Maiznieks kārtainā saldēta 400g,393.4,25.2,15,35.5,2.9,6.1,0.9,7.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_905491_PCE_LV",Saldēti produkti,2.89
Pica Rimi trīs sieru ar pildītu maliņu 434g,243.8,8.3,4.3,29.7,4,11.3,1,12.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808706_PCE_LV",Saldēti produkti,5.49
Krūmmellenes Rimi ātri sasaldēts 400G,65.0,0.5,0.1,13.7,13.7,0.7,0,9.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811169_PCE_LV",Saldēti produkti,3.79
Maizītes kanēļa Latvijas maiznieks 320g,356.1,17.1,9.5,44.5,17.1,5.3,0.8,15.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_968662_PCE_LV",Saldēti produkti,4.99
Dārzeņi Hortex cepšanai ar austrumu garšaugiem 400g,36.6,0.3,0,4.5,0,2.2,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223929_PCE_LV",Saldēti produkti,2.19
Pelmeņi Traditional ar vistas gaļu 400g,178.3,4.8,0.7,22.5,0.2,10.2,0.8,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297436_PCE_LV",Saldēti produkti,3.99
Dārzeņi Hortex maisījums cepšanai 400g,63.3,1.7,0,8.5,0,2.1,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223915_PCE_LV",Saldēti produkti,2.19
"Dārzeņu maisījums Rimi, zupai, ātri sasaldēts 400G",39.0,0.6,0.1,5,3.9,1.9,0.1,3.62,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811587_PCE_LV",Saldēti produkti,1.45
Spināti Rimi griezti saldēti 400g,21.7,0.4,0.1,0.6,0.2,2.8,0.1,3.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801484_PCE_LV",Saldēti produkti,1.59
Upenes Rimi ātri sasaldēts 400G,39.0,0,0,6.6,6.6,0.9,0.1,8.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811168_PCE_LV",Saldēti produkti,3.59
Garneles Rimi vārītas 31/40 mizotas ar asti ātri sasaldētas kg,54.0,0.6,0.2,0,0,12,1.2,25.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813941_KGM_LV",Saldēti produkti,25.99
Avenes Rimi saldētas 400g,28.9,0,0,4.5,4,1.4,0,11.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811678_PCE_LV",Saldēti produkti,4.59
Dārzeņi Hortex mix mehiko 400g,56.4,0.4,0,7.5,0,3.6,0,6.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_224240_PCE_LV",Saldēti produkti,2.79
Kartupeļi frī Long&Crunchly saldēti 600g,166.3,4.9,2.9,26.4,2.5,2.5,0.1,5.32,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_298205_PCE_LV",Saldēti produkti,3.19
Saldējums Karlsons ar ievārījumu 100ml/80g,301.6,21,14,26,26,1.8,0.1,12.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_208435_PCE_LV",Saldēti produkti,0.99
Biezpiena plācenīši Ekspresso cepti 500g,208.4,5.2,0.4,24.4,10.7,15.6,0.1,9.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_951196_PCE_LV",Saldēti produkti,4.99
Dārzeņi Hortex VIP salāti,39.0,0.4,0,5.4,0,1.9,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223910_PCE_LV",Saldēti produkti,2.19
Saldējums Tio vaniļas plombīra 1000ml/450g,204.8,12,7.9,20,20,2.8,0,8.2,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297884_PCE_LV",Saldēti produkti,3.69
"FARM FRITES kartupeļi frī cepeškrāsnij rievoti ""Oven Crinkle"" 750 g",93.9,4.9,2,26.4,0.4,2.5,0.1,4.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_207285_PCE_LV",Saldēti produkti,3.29
