NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Cepumi Selga 180g,442.6,13,7.4,71,22,8.4,0.5,7.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_123661_PCE_LV",Saldumi,1.29
Piparkūkas ICA 300g,469.9,19,9.2,69,32,5.2,1.3,7.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_805790_PCE_LV",Saldumi,2.29
Sālsstandziņas Rimi ar sieru 125g,491.6,24,16,55,2,12,2,13.28,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801292_PCE_LV",Saldumi,1.66
Cepumi Rimi Savoiardi dāmu pirkstiņi 200g,382.2,3.8,1.1,76.5,42,8.5,0.3,8.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807785_PCE_LV",Saldumi,1.75
Cepumi Piparkūkas 450g,426.1,13.6,5.9,68.3,27.6,7,0,9.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_163923_PCE_LV",Saldumi,4.29
Čipsi Ādažu Salmiņi 100g,494.7,27,12.5,59,0.8,2.7,1.7,22.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_115152_PCE_LV",Saldumi,2.29
Čipsi Ādažu ar tomātu garšu 130g,523.9,32,14.3,52,3.2,5.8,1.4,17.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1008026_PCE_LV",Saldumi,2.26
Čipsi Ādažu Mazāk sāls Klasiskie 130g,535.1,32,14.6,53,0.4,6.4,0.9,17.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1007898_PCE_LV",Saldumi,2.26
Kartupeļu plāksnes ar siera garšu 75g,510.0,26,2.6,62,1,7,0.9,10.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173096_PCE_LV",Saldumi,0.79
Augļu un riekstu maisījums Trail Rimi 500g,454.1,27.3,4.1,46.1,31.4,9.7,0.1,15.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812603_PCE_LV",Saldumi,7.89
Čipsi Ādažu sirsniņas 100g,496.9,30,13.5,52,4.8,3.9,2.3,22.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_174955_PCE_LV",Saldumi,2.29
"Kartupeļu plāksnes Pērne ar skābo krējumu, dillēm 75g",510.0,26,2.6,62,1,7,1.5,10.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173105_PCE_LV",Saldumi,0.79
"Pistācijas Rimi grauzdētas, sālītas kg",641.0,48.5,6.1,27.6,6.8,20.5,1.2,17.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807420_KGM_LV",Saldumi,17.59
Beļģu sviesta vafeles Selection by Rimi Waffle Crisps 100g,492.4,20.7,13,69.2,35.7,6.1,0.5,21.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807451_PCE_LV",Saldumi,2.15
Piparkūkas Rimi ar zemeņu pildījumu tumšajā šokolādē 200g,353.5,6.2,3.8,65,34,6.4,0.2,7.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815676_PCE_LV",Saldumi,1.49
Konfektes Trifele 1kg,572.7,40,27,49,47,0,0,16.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_164029_KGM_LV",Saldumi,16.99
Čipsi Ādažu ar krējuma un sīpolu garšu 130g,527.5,32,14.7,51,2.3,6.2,1.6,17.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1008027_PCE_LV",Saldumi,2.26
Cepumi ar balto šokolādi un saldinātām žāvētām  dzērvenēm,488.3,22.8,10.9,64.2,45.1,5.1,0.6,9.67,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811477_PCE_LV",Saldumi,1.45
Ābolu zefīrs Laima ar kanēli 200g,281.5,0,0,68,64,0.6,0.1,14.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_165970_PCE_LV",Saldumi,2.99
Čipsi Ādažu Draugu paka ar tomātu garšu 180g,523.9,32,14.3,52,3.2,5.8,1.4,15.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1008630_PCE_LV",Saldumi,2.79
Čipsi Ādažu ar diļļu garšu 130g,532.0,32,14.5,53,1.6,6.2,1.4,17.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1008024_PCE_LV",Saldumi,2.26
Kraukšķīgi cepumi ar tumšo šokolādi 29% un piena šokolādes gabaliņiem 11% Rimi 150g,501.9,26,14,58,32,7,0.7,11.93,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801290_PCE_LV",Saldumi,1.79
Čipsi Ādažu kraukšķīgie kartupeļi ar sāli 100g,517.9,30,14.2,54,0.8,6.4,1.4,17.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_130048_PCE_LV",Saldumi,1.75
Zefīrs Laima Maigums ar vaniļas garšu 200g,389.8,10,6,72,64,2.2,0.1,19.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_108317_PCE_LV",Saldumi,3.99
Riekstu batoniņš ar mandelēm,548.3,35,4.8,41,14,15,0,19.43,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812599_PCE_LV",Saldumi,0.68
Cepumi Rimi ar kakao krēma pildījumu 500g,469.6,18,10,69,29,6,0.4,2.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812429_PCE_LV",Saldumi,1.39
Indijas rieksti Awake 150g,602.8,46.3,9.2,30.5,2,15.8,0,9.93,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804390_PCE_LV",Saldumi,1.49
Krekeri Tuc Original sāļie 100g,483.0,19,9,67,7.1,8.3,1.7,14.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100854_PCE_LV",Saldumi,1.45
Sālsstandziņas Rimi 125g,485.2,22,14,60,1.5,9.9,1.8,13.28,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801291_PCE_LV",Saldumi,1.66
Salmiņi Draugu saldie 150g,271.7,1.1,0.2,55.2,10.4,8.1,0.2,8.6,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_152472_PCE_LV",Saldumi,1.29
Piparkūkas Selga 700g,428.1,14,5.6,68,25,7.5,0,8.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1002695_PCE_LV",Saldumi,5.99
Konfektes Diāna kg,375.7,8.9,5.5,71.6,60.7,1.1,0,16.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_184229_KGM_LV",Saldumi,16.99
Konfektes Ferrero Rocher 200g,602.5,42.7,14.1,44.4,39.9,8.2,0.2,38.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_101157_PCE_LV",Saldumi,7.69
Marmelāde Sfeks Saldā Leģenda klasiskā 200g,321.0,0,0,79.4,60,0.1,0.1,7.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_191420_PCE_LV",Saldumi,1.55
Tumšā šokolāde Poesia 100 g,513.9,29,17,54,49,6.1,0,6.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_802409_PCE_LV",Saldumi,0.69
Žāvētas plūmes Rimi bez kauliņiem 500g,285.9,0.4,0,64,38,2.2,0,10.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815053_PCE_LV",Saldumi,5.39
Kukurūzas uzkoda Rimi Siera bumbas 60g,517.2,28,3.1,58,7.6,6.5,2.5,9.83,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815209_PCE_LV",Saldumi,0.59
Rozīnes Awake bez kauliņiem 400g,289.4,0.1,0,67.8,59.2,2.3,0,3.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804431_PCE_LV",Saldumi,1.59
Cepumi Oreo kakao ar vaniļas garšas pildījumu 176g,473.7,19,5.4,67,35,5.6,0.7,15.28,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_181035_PCE_LV",Saldumi,2.69
Kartupeļu plāksnes ar skābo krējumu sīpolu 75g,510.0,26,2.6,62,1,7,0.9,10.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_173088_PCE_LV",Saldumi,0.79
Riekstu batoniņš ar Brazīlijas riekstiem,576.0,41,7,35,12,15,0,19.43,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812598_PCE_LV",Saldumi,0.68
Šokolāde Laima Lukss 90g,568.1,35,21,48,47,5.4,0,25.44,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1012290_PCE_LV",Saldumi,2.29
Cepumi ar piena šokolādi cukura glazūrā un tumšo šokolādi,496.7,24.7,11.9,61.9,41.2,5,0.7,9.67,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803437_PCE_LV",Saldumi,1.45
Marcipāna konfekte Laima 40g,442.9,16,4.1,64,61,7.6,0.1,22.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1002594_PCE_LV",Saldumi,0.89
Popkorns Rimi ar sviesta garšu 90g,430.9,19.4,8.9,50,0.7,8.9,1.9,9.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813137_PCE_LV",Saldumi,0.89
Čipsi Ādažu ar siera garšu 130g,532.7,32,14.7,52,3.7,6.4,1.4,17.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1008023_PCE_LV",Saldumi,2.26
